CountryName,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,4.715360165,4.798500061,4.871779919,,4.357140064,4.623690128,,4.702529907,4.827320099,5.797770023,6.750989914,5.914380074,6.34758997,6.442770004,5.850840092,5.887829781,5.49105978,,,,,,,
Africa Eastern and Southern,AFE,3.606129885,4.341670036,,,3.74496007,4.00578022,3.871469975,,4.28008008,,4.496590137,4.639014482,4.931210041,4.689917088,4.717299938,4.743500233,4.691999912,4.820445061,4.739749908,4.541950226,4.35243988,4.632254839,3.906225443,
Afghanistan,AFG,,,,,,,4.684760571,4.174895287,4.383672237,4.810639858,3.479449987,3.462009907,2.604199886,3.454459906,3.695219994,3.255800009,4.543970108,4.343190193,,,,,,
Africa Western and Central,AFW,2.565020084,2.42614007,2.580104947,2.447590113,2.427605033,2.656599998,2.558520079,2.737470031,2.498270035,2.907900095,3.014410019,2.772005081,2.881599903,3.029710054,2.914229989,3.195421457,2.899100065,3.535589933,3.071542978,3.100235343,3.403950334,3.282970428,2.928443313,
Angola,AGO,2.607530117,,,,,2.120110035,2.281460047,,,2.920000076,3.421319962,3.24000001,3.081910849,3.869999886,2.930000067,3.099999905,2.754936695,2.466878891,2.044701338,2.073064327,2.744996548,2.297108889,2.332125902,
Albania,ALB,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,3.509226084,,3.41307497,3.240008354,3.30906105,3.539299965,3.216967106,3.437969923,3.962090015,3.611720085,3.152944803,3.916239977,3.342299938,3.0904212,,
Andorra,AND,,,1.65971005,,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,2.565778971,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,2.856162786,2.583972216,2.666229963,
Arab World,ARB,,,5.032866716,,5.021100044,,3.930559993,,4.33701992,,,,4.124774933,,,,,,,,,,,
Argentina,ARG,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.777599812,5.279640198,4.647600174,,
Armenia,ARM,2.772730112,2.469439983,2.135040045,2.145040035,2.486730099,2.712029934,2.715770006,3.018939972,3.172729969,3.840790033,3.249000072,3.143850088,2.772480011,2.650180101,2.247240067,2.80591011,2.75812006,2.707590103,2.255867958,2.571912289,2.705559969,2.771339893,2.49326992,
American Samoa,ASM,,,,,,,14.7170496,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,3.395250082,,,,,,,2.508889914,,,2.356193304,2.647289991,2.553863287,2.655928612,2.909459352,2.876909018,3.239021063,3.457345009,,3.880490303,3.5633533,
Australia,AUS,4.884079933,5.226138592,5.307855129,5.246357441,5.194594383,4.89673996,4.738430023,4.653649807,4.630519867,5.081319809,5.538119793,5.06814003,4.866670132,5.229090214,5.164549828,5.31551981,5.28689003,5.138229847,5.124310017,5.134290218,5.608449936,5.556048393,,
Austria,AUT,5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162,5.47961998,5.371590137,5.226550102,5.21750021,5.569009781,4.986499786,,
Azerbaijan,AZE,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,3.176460028,4.332049847,3.702080011,2.904259443,
Burundi,BDI,2.645479918,2.903909922,3.004930019,,3.74496007,3.632159948,,,5.192900181,6.171949863,6.775249958,6.319250107,6.167779922,5.995399952,6.784520149,6.371339798,4.691999912,4.762020111,5.078649998,5.346684456,5.321585178,4.871141911,,
Belgium,BEL,5.532732964,5.676054955,5.789683819,5.891302109,5.629337788,5.795859814,5.62658596,5.518233776,6.332940102,6.458099842,6.442590237,6.431990147,6.255764961,6.630529881,6.590469837,6.451570034,6.461730003,6.425340176,6.381070137,6.33397007,6.812329769,6.234233379,,
Benin,BEN,2.113660097,2.365099907,2.159490108,2.283159971,2.566900015,2.656680107,2.56340003,2.363310099,2.777280092,3.089270115,3.679970026,4.400000095,3.562020063,3.327510118,3.161789894,3.17298007,2.899100065,3.535589933,2.931619883,3.002736092,2.939019918,3.193180799,3.210926771,
Burkina Faso,BFA,,,,,,3.941139936,3.982189894,4.07983017,,,3.502229929,3.985150099,3.603159904,4.083439827,4.053299904,3.67008996,,5.628469944,5.488609791,5.407136917,5.150865078,5.224015236,5.276512146,
Bangladesh,BGD,2.125080109,2.171930075,2.017149925,2.069390059,1.940140009,,2.131289959,2.202219963,2.05456996,1.939419985,,2.132699966,2.046670675,1.966160059,2.098716736,1.872254133,2.221199989,1.850400329,1.655891299,1.681388021,1.765280604,1.831179976,1.972786188,
Bulgaria,BGR,4.219832897,3.384239912,3.386080027,3.998450041,2.319950104,4.108799934,3.903460026,3.680340052,4.219089985,4.274290085,3.857969999,3.546979904,3.476370096,4.058229923,4.070053101,3.912084341,3.393708229,4.075270176,4.045289993,4.19715023,4.502870083,4.492647648,,
Bahrain,BHR,,,,,,,2.874409914,2.575000048,2.496779919,,,,2.645309925,2.476890087,2.467459917,2.674540043,3.25597024,2.324520111,2.808009863,2.384604454,2.552374601,2.220525265,1.987460494,
"Bahamas, The",BHS,2.232840061,,,,,,,,,,,2.34986043,2.452630043,2.472421408,2.448431969,2.399080276,2.603868723,2.806545019,2.566341162,2.700974464,2.866807222,3.573005915,2.94846344,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,6.196619987,,,6.310182095,5.712259769,5.871029854,6.076960087,5.152100086,5.713215351,4.368939877,5.220039845,4.684790134,4.959640026,5.009419918,4.818329811,4.787509918,4.946549892,4.795000076,5.381100178,4.979489803,4.862639904,4.606410027,,
